hypothesis_id,source_kind,template_id,fusion_operator,mechanism_sentence,event_family_spec,fixed_horizon_bucket,negative_controls,required_datasets,mechanism_coherence_score,observability_score,testability_score,priority_score,anti_leak_checks
20260211_031950_H0006,template,T1_forced_participation_constraint,,Non-economic forced_sell_flow under isolated participation creates short term volatility expansion over a short horizon.,"{'event_type': 'forced_flow_cluster', 'trigger': 'forced_sell_flow', 'context': 'isolated', 'consequence_class': 'short_term_volatility_expansion', 'horizon_bucket': 'short', 'invalidation': 'opposite_forced_flow_in_window', 'pre_event_conditioning_only': True}",short,"['time_shuffled_events', 'direction_inverted_events', 'randomized_clustering_windows']",['um_liquidation_snapshot'],0.6,0.9,1.0,0.8333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0007,template,T1_forced_participation_constraint,,Non-economic forced_sell_flow under clustered participation creates temporary price dislocation over a short horizon.,"{'event_type': 'forced_flow_cluster', 'trigger': 'forced_sell_flow', 'context': 'clustered', 'consequence_class': 'temporary_price_dislocation', 'horizon_bucket': 'short', 'invalidation': 'opposite_forced_flow_in_window', 'pre_event_conditioning_only': True}",short,"['time_shuffled_events', 'direction_inverted_events', 'randomized_clustering_windows']",['um_liquidation_snapshot'],0.6,0.9,1.0,0.8333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0008,template,T1_forced_participation_constraint,,Non-economic forced_sell_flow under clustered participation creates liquidity vacuum over a medium horizon.,"{'event_type': 'forced_flow_cluster', 'trigger': 'forced_sell_flow', 'context': 'clustered', 'consequence_class': 'liquidity_vacuum', 'horizon_bucket': 'medium', 'invalidation': 'opposite_forced_flow_in_window', 'pre_event_conditioning_only': True}",medium,"['time_shuffled_events', 'direction_inverted_events', 'randomized_clustering_windows']",['um_liquidation_snapshot'],0.6,0.9,1.0,0.8333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0009,template,T1_forced_participation_constraint,,Non-economic forced_sell_flow under cascading participation creates liquidity vacuum over a medium horizon.,"{'event_type': 'forced_flow_cluster', 'trigger': 'forced_sell_flow', 'context': 'cascading', 'consequence_class': 'liquidity_vacuum', 'horizon_bucket': 'medium', 'invalidation': 'opposite_forced_flow_in_window', 'pre_event_conditioning_only': True}",medium,"['time_shuffled_events', 'direction_inverted_events', 'randomized_clustering_windows']",['um_liquidation_snapshot'],0.6,0.9,1.0,0.8333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0010,template,T1_forced_participation_constraint,,Non-economic forced_sell_flow under cascading participation creates volatility aftershock over a medium horizon.,"{'event_type': 'forced_flow_cluster', 'trigger': 'forced_sell_flow', 'context': 'cascading', 'consequence_class': 'volatility_aftershock', 'horizon_bucket': 'medium', 'invalidation': 'opposite_forced_flow_in_window', 'pre_event_conditioning_only': True}",medium,"['time_shuffled_events', 'direction_inverted_events', 'randomized_clustering_windows']",['um_liquidation_snapshot'],0.6,0.9,1.0,0.8333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0011,template,T3_capacity_saturation_liquidity_discontinuity,,"When depth depletion burst exceeds local capacity, the market shows nonlinear impact over a short horizon.","{'event_type': 'liquidity_discontinuity', 'trigger': 'depth_depletion_burst', 'context': 'finite_supply_of_immediacy', 'consequence_class': 'nonlinear_impact', 'horizon_bucket': 'short', 'invalidation': 'book_depth_normalized_early', 'pre_event_conditioning_only': True}",short,"['pre_event_depth_shift', 'randomized_depletion_groups', 'state_label_shuffle']",['um_perp_ohlcv_15m'],0.4,0.7,1.0,0.7,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0012,template,T3_capacity_saturation_liquidity_discontinuity,,"When aggressive trade burst exceeds local capacity, the market shows refill lag over a medium horizon.","{'event_type': 'liquidity_discontinuity', 'trigger': 'aggressive_trade_burst', 'context': 'finite_supply_of_immediacy', 'consequence_class': 'refill_lag', 'horizon_bucket': 'medium', 'invalidation': 'book_depth_normalized_early', 'pre_event_conditioning_only': True}",medium,"['pre_event_depth_shift', 'randomized_depletion_groups', 'state_label_shuffle']",['um_perp_ohlcv_15m'],0.4,0.7,1.0,0.7,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0013,template,T3_capacity_saturation_liquidity_discontinuity,,"When book thinning event exceeds local capacity, the market shows liquidity vacuum over a medium horizon.","{'event_type': 'liquidity_discontinuity', 'trigger': 'book_thinning_event', 'context': 'finite_supply_of_immediacy', 'consequence_class': 'liquidity_vacuum', 'horizon_bucket': 'medium', 'invalidation': 'book_depth_normalized_early', 'pre_event_conditioning_only': True}",medium,"['pre_event_depth_shift', 'randomized_depletion_groups', 'state_label_shuffle']",['um_perp_ohlcv_15m'],0.4,0.7,1.0,0.7,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0014,template,T4_crowding_constraint_unwind,,"Under crowded long, forced flow shock induces asymmetric unwind over a medium horizon.","{'event_type': 'crowding_unwind', 'trigger': 'forced_flow_shock', 'context': 'crowded_long', 'consequence_class': 'asymmetric_unwind', 'horizon_bucket': 'medium', 'invalidation': 'opposite_crowding_state_appears', 'pre_event_conditioning_only': True}",medium,"['crowding_state_shuffle', 'side_inversion', 'stress_trigger_permutation']","['um_funding_rates', 'um_open_interest_hist']",0.2,0.7,1.0,0.6333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0015,template,T4_crowding_constraint_unwind,,"Under crowded short, forced flow shock induces asymmetric unwind over a medium horizon.","{'event_type': 'crowding_unwind', 'trigger': 'forced_flow_shock', 'context': 'crowded_short', 'consequence_class': 'asymmetric_unwind', 'horizon_bucket': 'medium', 'invalidation': 'opposite_crowding_state_appears', 'pre_event_conditioning_only': True}",medium,"['crowding_state_shuffle', 'side_inversion', 'stress_trigger_permutation']","['um_funding_rates', 'um_open_interest_hist']",0.2,0.7,1.0,0.6333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0016,template,T4_crowding_constraint_unwind,,"Under crowded long, volatility spike induces delayed aftershock over a medium horizon.","{'event_type': 'crowding_unwind', 'trigger': 'volatility_spike', 'context': 'crowded_long', 'consequence_class': 'delayed_aftershock', 'horizon_bucket': 'medium', 'invalidation': 'opposite_crowding_state_appears', 'pre_event_conditioning_only': True}",medium,"['crowding_state_shuffle', 'side_inversion', 'stress_trigger_permutation']","['um_funding_rates', 'um_open_interest_hist']",0.2,0.7,1.0,0.6333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
20260211_031950_H0017,template,T4_crowding_constraint_unwind,,"Under crowded short, volatility spike induces delayed aftershock over a medium horizon.","{'event_type': 'crowding_unwind', 'trigger': 'volatility_spike', 'context': 'crowded_short', 'consequence_class': 'delayed_aftershock', 'horizon_bucket': 'medium', 'invalidation': 'opposite_crowding_state_appears', 'pre_event_conditioning_only': True}",medium,"['crowding_state_shuffle', 'side_inversion', 'stress_trigger_permutation']","['um_funding_rates', 'um_open_interest_hist']",0.2,0.7,1.0,0.6333,"{'mechanism_without_outcome_reference': True, 'mechanism_without_dataset_ids': True, 'event_defined_without_outcome_reference': True, 'fixed_horizon_bucket': True, 'negative_controls_predefined': True, 'pre_event_conditioning_only': True, 'passed': True}"
